Site,Marker,Date,Depth_cm,ExcessPb210,
Monticello Grave Yard,Alexander Garrett,1860,2.5,3.11,
Monticello Grave Yard,Alexander Garrett,1860,7.5,1.06,
Monticello Grave Yard,Alexander Garrett,1860,12.5,0.34,
Monticello Grave Yard,Alexander Garrett,1860,17.5,-0.21,
Monticello Grave Yard,Alexander Garrett,1860,2.5,3.64,
Monticello Grave Yard,Alexander Garrett,1860,7.5,1.66,
Monticello Grave Yard,Alexander Garrett,1860,12.5,0.17,
Monticello Grave Yard,Alexander Garrett,1860,17.5,0.17,
Monticello Grave Yard,Alexander Garrett,1860,2.5,3.04,
Monticello Grave Yard,Alexander Garrett,1860,7.5,1.41,
Monticello Grave Yard,Alexander Garrett,1860,12.5,0.11,
Monticello Grave Yard,Alexander Garrett,1860,17.5,-0.07,
Monticello Grave Yard,Mary Jefferson Randolph,1878,2.5,3.2,
Monticello Grave Yard,Mary Jefferson Randolph,1878,7.5,1.61,
Monticello Grave Yard,Mary Jefferson Randolph,1878,12.5,0.36,
Monticello Grave Yard,Mary Jefferson Randolph,1878,17.5,0.02,
Monticello Grave Yard,Mary Jefferson Randolph,1878,2.5,3.66,
Monticello Grave Yard,Mary Jefferson Randolph,1878,7.5,1.45,
Monticello Grave Yard,Mary Jefferson Randolph,1878,12.5,0.13,
Monticello Grave Yard,Mary Jefferson Randolph,1878,17.5,-0.17,
Monticello Grave Yard,Mary Jefferson Randolph,1878,2.5,3.54,
Monticello Grave Yard,Mary Jefferson Randolph,1878,7.5,1.45,
Monticello Grave Yard,Mary Jefferson Randolph,1878,12.5,0.35,
Monticello Grave Yard,Mary Jefferson Randolph,1878,17.5,-0.19,
South Spring Check Dam,,,2.5,3.04,
South Spring Check Dam,,,7.5,1.87,
South Spring Check Dam,,,12.5,0.39,
South Spring Check Dam,,,17.5,0.13,
Slate Branch Alignment,,,2.5,3.37,
Slate Branch Alignment,,,7.5,1.59,
Slate Branch Alignment,,,12.5,0.33,
Slate Branch Alignment,,,17.5,-0.08,
PawPaw Alignment,,,2.5,3.764693217,
PawPaw Alignment,,,7.5,1.859987453,
PawPaw Alignment,,,12.5,0.398441037,
PawPaw Alignment,,,17.5,0.385783219,
PawPaw Alignment,,,22.5,-0.036100009,
PawPaw Alignment,,,27.5,0.046983861,
PawPaw Alignment,,,32.5,-0.027103325,
PawPaw Alignment,,,37.5,0.016193444,
,,,,,
