Uwisc. No.,Site,Unit,Sample No.,Elevation,AL,BA,CA,FE,MG,MN,NA,P,SR,TI,ZN,S,Depth
1,Paw Paw,PP2,PPS-34,378.70,8470.68,165.31,2083.46,23094.60,1192.35,2622.89,82.61,246.69,16.77,198.64,59.24,134.84,0.00
2,Paw Paw,PP2,PPS-37,378.60,8962.94,153.44,1166.47,24838.40,1127.40,2683.92,71.49,201.12,10.26,209.12,71.09,131.16,0.10
3,Paw Paw,PP2,PPS-40,378.50,9095.17,156.47,1076.05,25020.50,1238.93,2758.11,62.07,202.60,9.71,216.45,64.28,118.75,0.20
4,Paw Paw,PP2,PPS-43,378.40,9048.09,148.77,942.24,25276.00,1128.50,2615.26,72.33,202.28,8.68,218.43,53.08,117.07,0.30
5,Paw Paw,PP2,PPS-46,378.30,8496.08,142.32,933.95,27498.10,1105.02,2491.71,85.27,284.71,9.24,237.18,38.82,97.39,0.40
6,Paw Paw,PP2,PPS-49,378.20,9537.46,153.88,998.05,27429.00,1208.57,2703.96,64.63,230.46,9.26,235.18,38.84,100.19,0.50
7,Paw Paw,PP2,PPS-52,378.10,9084.38,147.21,1013.76,27025.10,980.18,2399.89,72.99,227.12,9.62,213.61,38.29,102.62,0.60
8,Paw Paw,PP2,PPS-55,378.00,9288.92,220.61,1737.43,25512.20,1184.79,2331.56,63.74,291.11,18.15,187.09,43.38,97.53,0.70
9,Paw Paw,PP2,PPS-58,377.90,10244.60,160.26,1453.52,29665.30,1388.43,2036.84,88.21,487.84,13.78,498.58,48.87,86.90,0.80
10,Paw Paw,PP2,PPS-61,377.80,9430.75,152.17,1482.45,27240.00,1312.75,2018.81,92.91,384.10,13.72,188.28,54.70,91.49,0.90
11,Paw Paw,PP2,PPS-64,377.70,9110.17,102.67,1082.76,32807.80,1367.69,1760.33,69.60,530.29,9.57,194.46,49.68,78.79,1.00
12,Paw Paw,PP2,PPS-67,377.60,9328.97,93.00,959.17,31526.70,1392.36,1774.19,82.28,492.85,8.22,197.14,46.58,71.43,1.10
13,Paw Paw,PP2,PPS-70,377.50,9241.53,88.37,913.83,29851.50,1794.42,1474.26,86.87,468.14,7.82,222.70,47.93,65.41,1.20
14,Paw Paw,PP2,PPS-73,377.40,8576.76,69.05,765.09,33119.40,1776.27,1191.36,85.97,541.34,6.48,301.19,44.87,54.42,1.30
15,Paw Paw,PP2,PPS-76,377.30,8868.89,63.07,773.23,36703.20,2036.30,1320.42,95.41,571.95,6.54,250.95,49.46,55.67,1.40
16,Paw Paw,PP2,PPS-79,377.20,8495.03,55.22,780.82,34496.30,1894.55,1186.35,86.94,551.86,6.45,242.02,49.68,51.90,1.50
17,Paw Paw,PP2,PPS-82,377.10,8197.79,51.15,855.83,35775.10,2105.52,1256.39,99.16,517.35,6.81,215.93,49.48,49.15,1.60
18,Paw Paw,PP2,PPS-85,377.00,8762.51,49.41,920.67,44145.70,2316.82,1020.16,79.32,611.15,7.18,212.96,48.73,48.18,1.70
19,Paw Paw,PP2,PPS-88,376.90,8889.62,47.40,1049.58,39265.50,2708.86,816.98,76.00,520.44,7.83,212.44,50.65,47.99,1.80
20,Paw Paw,PP2,PPS-91,376.80,8976.54,44.98,1071.48,44878.80,2892.77,795.33,81.94,592.94,7.82,201.04,59.25,46.90,1.90
21,Paw Paw,PP2,PPS-94,376.70,9655.57,45.33,1446.91,46885.40,3578.93,709.00,82.59,594.32,9.45,198.37,82.62,57.31,2.00
22,Paw Paw,PP2,PPS-97,376.60,9456.13,41.92,1266.31,50064.40,3928.46,709.52,80.07,621.96,8.67,195.59,63.49,46.06,2.10
23,Paw Paw,PP2,PPS-100,376.50,10263.90,45.01,1439.92,56536.40,4611.53,930.70,95.28,731.06,9.60,188.75,75.60,51.11,2.20
24,Paw Paw,PP2,PPS-103,376.40,10395.70,44.60,1527.01,56277.30,5131.62,961.17,88.26,703.49,10.12,207.20,75.48,52.09,2.30
