UwiscNo,DateSent,Site,Unit,SampleNo,Layer,Context,Elevation,Depth,Al,Ba,Ca,Fe,K,Mg,Mn,Na,P,Sr,Ti,Zn,S
124,Nov. 02,South Spring,SS2,88,1,A,589.2,0,6404.11,118.25,2732.59,27340.3,440.48,1034.27,1162.58,41.14,216.31,18.35,193.73,41.26,124.87
125,Nov. 02,South Spring,SS2,89,1,A,589.1,-0.1,6361.3,119.04,2449.07,27160.7,453.49,1004.36,1094.97,34.37,212.21,17.22,192.87,43.65,116.37
126,Nov. 02,South Spring,SS2,90,2,A,589,-0.2,6291.28,106.41,2447.81,26951.5,447.57,1025.27,965.01,35.97,211.79,17.11,191.47,44.16,112.58
127,Nov. 02,South Spring,SS2,91,2,A,588.9,-0.3,6730.14,90.44,1857.1,30504.2,373.25,900.59,832.92,32.22,199.03,13.51,196.57,42.84,99.05
128,Nov. 02,South Spring,SS2,92,2,A,588.8,-0.4,6719.39,85.02,1662.83,34511.6,353.96,847.08,878.61,33.33,215.69,12.34,207.51,41.24,92.13
129,Nov. 02,South Spring,SS2,93,2,A,588.7,-0.5,7162.02,81.69,1574.09,34031.1,312.13,808.74,878.85,27.92,232.26,11.76,212.92,38.01,93.64
130,Nov. 02,South Spring,SS2,94,2,A,588.6,-0.6,7024.69,85.19,1349.38,41588.3,304.93,790.15,1631.46,32.65,250.51,10.25,231.58,33.4,98.57
131,Nov. 02,South Spring,SS2,95,2,A,588.5,-0.7,6826.54,81.33,1297.37,39645.4,294.68,827.98,1553.35,32.75,242.51,9.79,249.85,31.84,90.58
132,Nov. 02,South Spring,SS2,96,2,A,588.4,-0.8,7108.52,68.03,1230.51,38907.1,261.65,861.49,1039.49,34.05,238.04,9,260.2,28.04,82.18
133,Nov. 02,South Spring,SS2,97,2,A,588.3,-0.9,6885.54,65.86,1225.52,38649.9,278.68,902.36,1103.95,32.73,239.35,8.79,266.32,28.07,83.72
134,Nov. 02,South Spring,SS2,98,2,A,588.2,-1,7627.59,89.42,1311.92,43027.2,315.73,1186.82,2043.43,27.55,284.85,10.05,290.78,34.92,63.49
135,Nov. 02,South Spring,SS2,99,3,A,588.1,-1.1,8621.68,90.28,1178.95,43829.5,277.94,750.59,2021.18,26.9,319.82,9.19,229.86,31.13,54.26
136,Nov. 02,South Spring,SS2,100,3,A,588,-1.2,8281.54,80.39,1199.48,39782.8,306.14,997.21,1402.88,30.94,299.01,9.09,255.05,31.33,47.33
137,Nov. 02,South Spring,SS2,101,3,A,587.9,-1.3,8662.23,79.42,1340.6,40669.7,297.42,1862.97,1240.26,32.31,300.87,10.56,204.93,29.36,49.04
138,Nov. 02,South Spring,SS2,102,3,A,587.8,-1.4,8562.97,83.91,1182.32,39739.6,290.53,708.55,1412.65,31.07,303.6,8.73,208.14,29.43,47.89
139,Nov. 02,South Spring,SS2,103,3,A,587.7,-1.5,7908.26,81.72,1202.15,39813.6,298.48,757.68,1408.71,31.9,326.32,9.03,214.25,30.6,52.7
140,Nov. 02,South Spring,SS2,104,4,A,587.6,-1.6,7651.25,105.27,1195.09,43353.2,293.62,746.57,2352,32.29,450.35,9.01,220.65,31.67,60.37
141,Nov. 02,South Spring,SS2,105,4,A,587.5,-1.7,7507.04,111.23,1178.38,42433.2,296.52,738.31,2902.73,31.11,453.76,8.9,211.4,31.55,63.58
142,Nov. 02,South Spring,SS2,106,5,B,587.4,-1.8,7228.21,80.16,1165.59,39531.5,311.63,900.41,1791.26,32.12,311.36,8.24,223.83,30.77,54.74
143,Nov. 02,South Spring,SS2,107,5,B,587.3,-1.9,7166.07,68.46,1091.62,33429.5,300.38,780.71,1245.55,30.26,197.9,7.67,197.71,24.79,39.99
144,Nov. 02,South Spring,SS2,108,5,B,587.2,-2,7506.05,71.27,1091.76,33593.6,330.08,861.03,1317.96,30.3,226.04,7.68,202.01,27.77,42.59
145,Nov. 02,South Spring,SS2,109,5,B,587.1,-2.1,7002.08,68.06,1056.65,32752.6,310.1,811.54,1491.2,34.48,243.12,7.53,201.88,26.2,40.29
146,Nov. 02,South Spring,SS2,110,5,B,587,-2.2,7432.36,74.92,1172.58,35126.1,297.61,915.64,1643.75,40.09,167.08,7.93,232.4,29.65,45.18
147,Nov. 02,South Spring,SS2,111,6,B,586.9,-2.3,6061,59.12,1115.83,34150.4,254.82,883.17,1276.4,33.43,104.52,7.26,291.15,21.45,40.88
148,Nov. 02,South Spring,SS2,112,6,B,586.8,-2.4,6705.82,57.54,1221.58,33715.8,296.41,1189.46,1097.81,36.35,134.99,7.72,309.64,26.21,39.6
149,Nov. 02,South Spring,SS2,113,6,B,586.7,-2.5,6451.65,48.96,1073.72,35781.3,254.68,844.02,923.33,34.88,127.03,6.93,293.27,20.69,40.82
150,Nov. 02,South Spring,SS2,114,6,B,586.6,-2.6,6324.42,46.04,1099.26,36208.9,242.32,915.85,721.46,35.62,110.75,6.97,285.4,20.13,37.98
151,Nov. 02,South Spring,SS2,115,6,B,586.5,-2.7,6443.23,47.43,1111.48,34740.4,251.26,835.13,785.16,36.78,110.6,7.06,262.91,20.22,36.64
152,Nov. 02,South Spring,SS2,116,6,B,586.4,-2.8,6203.66,48.3,1081.95,34218.2,252.05,773.01,781.33,36.99,120.28,7.07,263.49,19.97,36.82
153,Nov. 02,South Spring,SS2,117,6,B,586.3,-2.9,5855.42,56.88,1065.45,35968.9,236.49,746.5,1250.12,35.47,96.06,7.09,250.39,21.95,39.81
154,Nov. 02,South Spring,SS2,118,6,B,586.2,-3,6152.24,45.59,1109.45,33054.5,240.03,846.12,811.62,36.47,98.57,7.18,282.05,20.78,35.54
155,Nov. 02,South Spring,SS2,119,7,B,586.1,-3.1,6327.17,52.44,1129.63,35022.5,244.84,880.65,1016.88,42.67,129.03,7.35,257.95,22.75,38.66
156,Nov. 02,South Spring,SS2,120,7,B,586,-3.2,6131.76,51.87,1101.14,33718.4,247.2,750.88,936.87,41.16,94.75,7.27,247.12,18.36,36.03
157,Nov. 02,South Spring,SS2,121,7,B,585.9,-3.3,6831.65,62.13,1152.99,34311.1,266.9,951.5,1084.29,47.83,197.84,7.52,269.91,25.25,40.53
158,Nov. 02,South Spring,SS2,122,7,B,585.8,-3.4,6343.97,55.11,1105,34271.3,252.76,832.09,758.14,44.63,113.84,7.04,261.3,19.47,64.26
159,Nov. 02,South Spring,SS2,123,7,B,585.7,-3.5,8299.07,84.81,1063.02,42795.5,294.32,777.24,1232.45,42.84,244.44,7.18,265.31,31.11,82.4
160,Nov. 02,South Spring,SS2,124,7,B,585.6,-3.6,6094.67,68.3,1098.59,36239.1,326.4,892.13,1186.45,40.85,110.67,7.16,260.45,21.06,39.78
161,Nov. 02,South Spring,SS2,125,7,B,585.5,-3.7,6869.26,81.59,1071.2,40141,262.74,720.93,1283.97,38.6,157.29,6.84,251.53,28.1,44.09
162,Nov. 02,South Spring,SS2,126,7,B,585.4,-3.8,7546.18,82.75,1110.87,37849.7,311.99,796.44,1092.28,46.41,203.28,7.15,250.81,26.39,42.75
163,Nov. 02,South Spring,SS2,127,7,B,585.3,-3.9,8013.84,95.47,1312.26,37579.6,353.52,1338.33,1393.7,44.65,275.11,8.02,198.31,34.53,41.18
164,Nov. 02,South Spring,SS2,128,7,B,585.2,-4,8804.18,102.58,1122.21,43064.4,347.55,900.41,1287.58,46.01,256.02,7.3,244.61,32.7,45.36
165,Nov. 02,South Spring,SS2,129,7,C,585.1,-4.1,9192.63,128.09,1199.92,38957.6,459.38,914.57,2669.79,50.14,319.51,8.23,261.7,33.5,61.8
166,Nov. 02,South Spring,SS2,130,7,C,585,-4.2,8490.61,159.78,1320.44,34213.6,387.02,885.44,4274.86,54.45,377.31,9.84,222.15,34.08,73.83
167,Nov. 02,South Spring,SS2,131,7,C,584.9,-4.3,8527.55,116.28,1230.73,37623.9,361.18,876.09,2963.73,60.25,354.81,8.95,235.25,31.52,62.26
168,Nov. 02,South Spring,SS2,132,7,C,584.8,-4.4,8517.14,94.18,1237.99,37134.8,360.94,861.62,1918.08,53.87,324.86,8.5,236.32,30.11,55.51
